symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2024-12-05 05:00:00+00:00,359.87,375.43,359.5,369.49,81403569.0,1212221.0,370.295775
TSLA,2024-12-06 05:00:00+00:00,377.42,389.49,370.8,389.22,81455834.0,1145513.0,378.435864
TSLA,2024-12-09 05:00:00+00:00,397.61,404.8,378.01,389.79,96359173.0,1488655.0,388.888046
TSLA,2024-12-10 05:00:00+00:00,392.68,409.73,390.85,400.99,97563578.0,1458459.0,403.376888
TSLA,2024-12-11 05:00:00+00:00,409.7,424.88,402.38,424.77,104287559.0,1533094.0,414.821737
TSLA,2024-12-12 05:00:00+00:00,424.84,429.3,415.0,418.1,87752225.0,1397331.0,421.696696
TSLA,2024-12-13 05:00:00+00:00,420.0,436.3,415.71,436.23,89000158.0,1319682.0,428.340815
TSLA,2024-12-16 05:00:00+00:00,441.09,463.19,436.15,463.02,114083811.0,1906382.0,453.075452
TSLA,2024-12-17 05:00:00+00:00,475.9,483.99,457.5101,479.86,131222978.0,2228464.0,473.779226
TSLA,2024-12-18 05:00:00+00:00,466.495,488.5399,427.01,440.13,149340788.0,2544060.0,462.408782
TSLA,2024-12-19 05:00:00+00:00,451.88,456.36,420.02,436.17,118566146.0,1977577.0,437.747352
TSLA,2024-12-20 05:00:00+00:00,425.505,447.08,417.64,421.06,132216176.0,1816629.0,431.669349
TSLA,2024-12-23 05:00:00+00:00,431.0,434.51,415.4112,430.6,72698055.0,1187250.0,428.677054
TSLA,2024-12-24 05:00:00+00:00,435.9,462.78,435.14,462.28,59551750.0,936767.0,451.6592
TSLA,2024-12-26 05:00:00+00:00,465.16,465.3299,451.02,454.13,76651210.0,1251616.0,456.515136
TSLA,2024-12-27 05:00:00+00:00,449.52,450.0,426.5,431.66,82666821.0,1352471.0,434.553184
TSLA,2024-12-30 05:00:00+00:00,419.4,427.0,415.75,417.41,64941012.0,1178088.0,420.769552
TSLA,2024-12-31 05:00:00+00:00,423.79,427.93,402.54,403.84,76825121.0,1214553.0,413.079198
TSLA,2025-01-02 05:00:00+00:00,390.1,392.7299,373.04,379.28,109710749.0,2134259.0,380.93662
TSLA,2025-01-03 05:00:00+00:00,381.48,411.8799,379.45,410.44,95423329.0,1446053.0,397.358166
TSLA,2025-01-06 05:00:00+00:00,423.2,426.43,401.7,411.05,85516534.0,1538768.0,411.926339
TSLA,2025-01-07 05:00:00+00:00,405.83,414.33,390.0,394.36,75699525.0,1307364.0,397.553043
TSLA,2025-01-08 05:00:00+00:00,392.95,402.4999,387.4,394.94,73038805.0,1053233.0,395.503484
TSLA,2025-01-10 05:00:00+00:00,391.4,399.28,377.29,394.74,62287333.0,1013456.0,392.521782
TSLA,2025-01-13 05:00:00+00:00,383.21,403.79,380.07,403.31,67580494.0,1091602.0,392.287984
TSLA,2025-01-14 05:00:00+00:00,414.34,422.64,394.54,396.36,84565022.0,1329525.0,408.315226
TSLA,2025-01-15 05:00:00+00:00,409.9,429.8,405.661,428.22,81375460.0,1270362.0,419.665889
TSLA,2025-01-16 05:00:00+00:00,423.49,424.0,409.13,413.82,68335151.0,1115835.0,414.692584
TSLA,2025-01-17 05:00:00+00:00,421.5,439.74,419.75,426.5,94991429.0,1408188.0,431.143857
TSLA,2025-01-21 05:00:00+00:00,432.64,433.2,406.31,424.07,87320894.0,1525520.0,416.698413
TSLA,2025-01-22 05:00:00+00:00,416.81,428.0,414.59,415.11,60963342.0,997855.0,419.951867
TSLA,2025-01-23 05:00:00+00:00,416.06,420.73,408.95,412.38,50690592.0,858456.0,412.953492
TSLA,2025-01-24 05:00:00+00:00,414.45,418.88,405.78,406.58,56427149.0,880013.0,411.805184
TSLA,2025-01-27 05:00:00+00:00,394.8,406.69,389.0,397.15,58125510.0,1169771.0,398.061358
TSLA,2025-01-28 05:00:00+00:00,396.91,400.59,386.5,398.09,48910676.0,832535.0,393.759183
TSLA,2025-01-29 05:00:00+00:00,395.21,398.5899,384.48,389.1,68033648.0,1233281.0,390.198862
TSLA,2025-01-30 05:00:00+00:00,410.78,412.5,384.41,400.28,98092879.0,1520074.0,398.863881
